file offset;item id;item name
0xE460;0x0039;ItemId_ForceGem_57
0xE4A0;0x0035;ItemId_ForceGem_53
0xEA58;0x0035;ItemId_ForceGem_53
0xED78;0x005F;ItemId_RandLegendaryTreasure
0xF050;0x0070;ItemId_FreebieCard
0xF060;0x0028;ItemId_HeartContainer
0xF080;0x0071;ItemId_QuintupleCard
0xF0A8;0x0055;ItemId_RegalRing
0xF0F8;0x0070;ItemId_FreebieCard
0xF110;0x0070;ItemId_FreebieCard
0xF118;0x0028;ItemId_HeartContainer
0xF138;0x0070;ItemId_FreebieCard
0xF140;0x0028;ItemId_HeartContainer
0xF148;0x0071;ItemId_QuintupleCard
0xF1E8;0x002F;ItemId_ForceGem_47
0xF3E0;0x004F;ItemId_PirateNecklace
